Expenditures 2009,Department Description,Expenditures 2008,Department,Fund ID,Expenditures 2007,Appropriations 2018,Appropriations 2015,Appropriations 2014,Appropriations 2017,Appropriations 2016,Appropriations 2011,Appropriations 2010,Appropriations 2013,Appropriations 2012,Fund,Control Officer,Results Area ID,Results Area,Expenditures 2015,Expenditures 2014,Short Title,Expenditures 2012,Expenditures 2013,Expenditures 2010,Expenditures 2011,Appropriations 2007,Link to Website,Appropriations 2008,Appropriations 2009
58810,,421491,New Orleans Coroner's Office,2,264565,216511,0,0,113450,280557,0,0,0,881470,Other Fund,Coroner,2,Public Safety ,280557,7246,Coroner,17105,0,58810,50000,228742,http://louisianasca.org/parish-offices/orleans-parish/,711088,0
0,,0,Orleans Parish Juvenile Court,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Juvenile Court,2,Public Safety ,0,0,Juvenile Court,0,0,0,0,0,http://opjc.com/,0,0
0,,0,Orleans Parish First City Court,2,0,0,0,0,0,0,0,0,0,0,Other Fund,First City Court,2,Public Safety ,0,0,First City Court,0,0,0,0,0,http://www.orleanscdc.com/fccintro.html,0,0
0,,0,Orleans Parish Civil District Court,2,0,0,0,0,0,124348,0,0,0,0,Other Fund,Civil District Court,2,Public Safety ,0,0,Civil District Court,0,0,0,0,7125,http://www.orleanscdc.com/,7125,0
0,,0,New Orleans Municipal Court,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Municipal Court,2,Public Safety ,58374,23084,Municipal Court,0,0,0,0,1853519,http://www.nola.gov/municipal-court/,0,0
0,,0,Traffic Court,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Traffic Court,1,Open and Effective Government,0,0,Traffic Court,0,0,0,0,0,http://www.nola.gov/traffic-court/,0,0
0,,0,Orleans Parish Criminal District Court,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Criminal Court,2,Public Safety ,0,0,Criminal Court,0,0,0,0,4176426,http://www.criminalcourt.org/,3197756,0
0,,0,Orleans Parish Sheriff's Office,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Sheriff,2,Public Safety ,0,0,Sheriff,0,0,0,0,1231440,http://www.opcso.org/,347101,0
0,,1008269,Clerk of Criminal District Court,2,1362759,0,0,0,0,0,0,0,0,0,Other Fund,Clerk of Criminal District Court,2,Public Safety ,0,0,Clerk of Criminal Court,0,0,0,0,0,http://www.criminalcourt.org/court/clerk.aspx,1287673,1457655
0,,0,Registrar of Voters,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Registrar,1,Open and Effective Government,0,0,Registrar,0,0,0,0,0,http://www.nola.gov/registrar/,0,0
0,,0,Judicial Retirement,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Parish Wide Costs,1,Open and Effective Government,0,0,Judicial Retirement,0,0,0,0,0,,0,0
43444054,"The New Orleans Aviation Board represents the City in all aviation matters in consultation with state, national, and international government agencies. It is an unattached board under the executive branch of the New Orleans City Government.
",58096656,NOAB Revolving Fund,2,44886177,79710494,73524500,74974783,75663200,74183005,70759811,69222688,66990177,66990177,Other Fund,Independent Board,7,Enterprise Funds,39278130,38492755,NO Aviation Board,38319717,42301937,41376853,38966674,59999954,http://www.nola.gov/boards/new-orleans-aviation-board/,66790224,69222688
10000,"The Delgado Albania Plantation Commission provides for the administration, operation and maintenance of the Delgado Albania Plantation, has authority, with the approval of the City Council, to borrow money to produce crops, and mortgage and pledge as security thereof, the crops and chattels of said plantation, and transmits annually to the Board of City Trusts for the account of the Delgado Community College and its successor such portion of the income of the plantation as may be fixed by the City Council.",12500,Delgado Albania Revolving Fund,2,7500,37000,37000,37000,37000,37000,37000,37000,37000,37000,Other Fund,Independent Board,7,Enterprise Funds,0,0,Delgado-Albania,5000,0,10000,10000,3700,http://www.nola.gov/boards/delgado-albania-plantation-commission/,3700,37000
